query,function,identifier,url,score
convert int to string,"def clear_display(self):
        display = self.display
        # Erase all just HiDES them
        display.Context.PurgeDisplay()
        display.Context.RemoveAll()",QtOccViewer.clear_display,https://github.com/frmdstryr/enamlx/blob/9582e29c88dc0c0340f912b49168b7307a47ed4f/enamlx/qt/qt_occ_viewer.py#L580-L584,1.1051944
convert int to string,"def update_display_properties(self, display_properties: typing.Mapping, display_layers: typing.Sequence[typing.Mapping]) -> None: ...",ImageCanvasItemDelegate.update_display_properties,https://github.com/nion-software/nionswift/blob/d43693eaf057b8683b9638e575000f055fede452/nion/swift/ImageCanvasItem.py#L271-L271,1.0931046
convert int to string,"def display_display_item_in_display_panel(self, display_item, display_panel_id):
        for display_panel in self.display_panels:
            if display_panel.display_panel_id == display_panel_id:
                display_panel.set_display_panel_display_item(display_item)
                self.__sync_layout()",Workspace.display_display_item_in_display_panel,https://github.com/nion-software/nionswift/blob/d43693eaf057b8683b9638e575000f055fede452/nion/swift/Workspace.py#L177-L181,1.0913168
convert int to string,"def display_xdata(self) -> DataAndMetadata.DataAndMetadata:
        """"""Return the extended data of this data item display.

        Display data will always be 1d or 2d and either int, float, or RGB data type.

        .. versionadded:: 1.0

        Scriptable: Yes
        """"""
        display_data_channel = self.__display_item.display_data_channel
        return display_data_channel.get_calculated_display_values(True).display_data_and_metadata",DataItem.display_xdata,https://github.com/nion-software/nionswift/blob/d43693eaf057b8683b9638e575000f055fede452/nion/swift/Facade.py#L1037-L1047,1.0803035
convert int to string,"def delete_ip_from_host_record(self, host_record, ip):
        host_record.ip.remove(ip)
        return host_record.update()",InfobloxObjectManager.delete_ip_from_host_record,https://github.com/infobloxopen/infoblox-client/blob/edeec62db1935784c728731b2ae7cf0fcc9bf84d/infoblox_client/object_manager.py#L291-L293,1.0730444
convert int to string,"def selected_display_item(self) -> typing.Optional[DisplayItem.DisplayItem]:
        """"""Return the selected display item.

        The selected display is the display ite that has keyboard focus in the data panel or a display panel.
        """"""
        # first check for the [focused] data browser
        display_item = self.focused_display_item
        if not display_item:
            selected_display_panel = self.selected_display_panel
            display_item = selected_display_panel.display_item if selected_display_panel else None
        return display_item",DocumentController.selected_display_item,https://github.com/nion-software/nionswift/blob/d43693eaf057b8683b9638e575000f055fede452/nion/swift/DocumentController.py#L795-L805,1.0666428
convert int to string,"def _format_single_ship(record):
    return [
        record.index,
        record.id,
        record.pos.x,
        record.pos.y,
    ]",_format_single_ship,https://github.com/IL2HorusTeam/il2fb-ds-middleware/blob/7ebde962f5774263b4b9c3dd9c7d2e5e51493dcf/examples/radar.py#L137-L143,1.0606987
convert int to string,"def get_soap_object(self, client):
        custom_event = client.factory.create(self.soap_name)
        custom_event.eventName = self.event_name
        custom_event.eventId = self.event_id
        custom_event.eventStringDataMapping = self.event_string_data_mapping
        custom_event.eventDateDataMapping = self.event_date_data_mapping
        custom_event.eventNumberDataMapping = self.event_number_data_mapping
        return custom_event",CustomEvent.get_soap_object,https://github.com/jslang/responsys/blob/9b355a444c0c75dff41064502c1e2b76dfd5cb93/responsys/types.py#L230-L237,1.0541624
convert int to string,"def analysis_selector_process(analysis_selector): 
    analysis_selector_module = importlib.import_module(analysis_selector.selector_module)
    return functools.partial( getattr(analysis_selector_module,analysis_selector.selector_function), analysis_selector )",analysis_selector_process,https://github.com/pjanis/funtool/blob/231851238f0a62bc3682d8fa937db9053378c53d/funtool/analysis_selector.py#L23-L25,1.0530673
convert int to string,"def intern(obj, timeout):
    """"""
    Tell untwisted to process an extern event
    loop.
    """"""

    core.gear.timeout = timeout
    core.gear.pool.append(obj)",intern,https://github.com/untwisted/untwisted/blob/8a8d9c8a8d0f3452d5de67cd760297bb5759f637/untwisted/tkinter.py#L27-L34,1.0496465
